;Istanbul;Omurlu;Uskudar;Lice district;Malatya;Ceylanpinar;Yuksekova;Konak District;Ordu;Uzumlu;Diyarbakir;Dortyol
Istanbul;0;1;1;1;2;1;2;1;1;1;7;0
Omurlu;1;0;0;1;0;0;1;0;0;0;1;0
Uskudar;1;0;0;0;0;0;0;1;0;0;1;0
Lice district;1;1;0;0;0;0;1;0;0;0;1;0
Malatya;2;0;0;0;0;0;1;0;0;0;2;1
Ceylanpinar;1;0;0;0;0;0;0;0;0;0;1;0
Yuksekova;2;1;0;1;1;0;0;0;0;0;2;1
Konak District;1;0;1;0;0;0;0;0;0;0;1;0
Ordu;1;0;0;0;0;0;0;0;0;0;1;0
Uzumlu;1;0;0;0;0;0;0;0;0;0;1;0
Diyarbakir;7;1;1;1;2;1;2;1;1;1;0;0
Dortyol;0;0;0;0;1;0;1;0;0;0;0;0
