source,target,weight
 Australia, Pennsylvania,1
Andorra, Finland,1
Andorra, Rhode Island,1
Andorra, Maine,1
Andorra, Malta,1
Andorra, Bolivia,1
Andorra, Colorado,1
Andorra, Nicaragua,1
Andorra, Belize,1
Andorra, Panama,1
Andorra, Uzbekistan,1
Andorra, Indonesia,1
Andorra, Montana,1
Andorra, California,1
Andorra, Japan,1
Andorra, Gibraltar,1
 Indonesia, Finland,1
 Indonesia, Rhode Island,1
 Indonesia, Maine,1
 Indonesia, Malta,1
 Indonesia, Bolivia,1
 Indonesia, Colorado,1
 Indonesia, Nicaragua,1
 Indonesia, Belize,1
 Indonesia, Panama,1
 Indonesia, Uzbekistan,1
 Indonesia, Montana,1
 Indonesia, California,1
 Indonesia, Japan,1
 Indonesia, Gibraltar,1
 Belize, Finland,1
 Belize, Rhode Island,1
 Belize, Maine,1
 Belize, Malta,1
 Belize, Bolivia,1
 Belize, Colorado,1
 Belize, Nicaragua,1
 Belize, Panama,1
 Belize, Uzbekistan,1
 Belize, Montana,1
 Belize, California,1
 Belize, Japan,1
 Belize, Gibraltar,1
 India, Egypt,1
 India, Ukraine,1
 Switzerland, Iceland,1
 France, Oregon,1
 Colorado, Finland,1
 Colorado, Rhode Island,1
 Colorado, Maine,1
 Colorado, Malta,1
 Colorado, Bolivia,1
 Colorado, Nicaragua,1
 Colorado, Panama,1
 Colorado, Uzbekistan,1
 Colorado, Montana,1
 Colorado, California,1
 Colorado, Japan,1
 Colorado, Gibraltar,1
 Montana, Finland,1
 Montana, Rhode Island,1
 Montana, Maine,1
 Montana, Malta,1
 Montana, Bolivia,1
 Montana, Nicaragua,1
 Montana, Panama,1
 Montana, Uzbekistan,1
 Montana, California,1
 Montana, Japan,1
 Montana, Gibraltar,1
 Egypt, Ukraine,1
 Canada, Minnesota,1
 Japan, Finland,1
 Japan, Rhode Island,1
 Japan, Maine,1
 Japan, Malta,1
 Japan, Bolivia,1
 Japan, Nicaragua,1
 Japan, Panama,1
 Japan, Uzbekistan,1
 Japan, California,1
 Japan, Gibraltar,1
 Gibraltar, Finland,1
 Gibraltar, Rhode Island,1
 Gibraltar, Maine,1
 Gibraltar, Malta,1
 Gibraltar, Bolivia,1
 Gibraltar, Nicaragua,1
 Gibraltar, Panama,1
 Gibraltar, Uzbekistan,1
 Gibraltar, California,1
 Finland, Rhode Island,1
 Finland, Maine,1
 Finland, Malta,1
 Finland, Bolivia,1
 Finland, Nicaragua,1
 Finland, Panama,1
 Finland, Uzbekistan,1
 Finland, California,1
 Bolivia, Rhode Island,1
 Bolivia, Maine,1
 Bolivia, Malta,1
 Bolivia, Nicaragua,1
 Bolivia, Panama,1
 Bolivia, Uzbekistan,1
 Bolivia, California,1
 California, Rhode Island,1
 California, Maine,1
 California, Malta,1
 California, Nicaragua,1
 California, Panama,1
 California, Uzbekistan,1
 Nicaragua, Rhode Island,1
 Nicaragua, Maine,1
 Nicaragua, Malta,1
 Nicaragua, Panama,1
 Nicaragua, Uzbekistan,1
 Panama, Rhode Island,1
 Panama, Maine,1
 Panama, Malta,1
 Panama, Uzbekistan,1
 Maine, Rhode Island,1
 Maine, Malta,1
 Maine, Uzbekistan,1
 Rhode Island, Malta,1
 Rhode Island, Uzbekistan,1
 Uzbekistan, Malta,1
